trade_date,symbol,open,high,low,close,volume,turnover,is_suspended,is_limit_up,is_limit_down
2024-01-02,510300.SH,3.50,3.52,3.48,3.51,1000000,3510000,0,0,0
2024-01-02,510500.SH,5.20,5.22,5.18,5.21,800000,4168000,0,0,0
2024-01-02,159915.SZ,2.40,2.42,2.39,2.41,900000,2169000,0,0,0
2024-01-02,159949.SZ,1.80,1.81,1.79,1.80,700000,1260000,0,0,0
2024-01-03,510300.SH,3.51,3.55,3.50,3.54,1100000,3894000,0,0,0
2024-01-03,510500.SH,5.21,5.24,5.20,5.23,820000,4288600,0,0,0
2024-01-03,159915.SZ,2.41,2.42,2.39,2.40,910000,2184000,0,0,0
2024-01-03,159949.SZ,1.80,1.80,1.78,1.79,690000,1235100,0,0,0
2024-01-04,510300.SH,3.54,3.58,3.53,3.57,1150000,4105500,0,0,0
2024-01-04,510500.SH,5.23,5.27,5.22,5.25,830000,4357500,0,0,0
2024-01-04,159915.SZ,2.40,2.41,2.39,2.40,905000,2172000,0,0,0
2024-01-04,159949.SZ,1.79,1.79,1.78,1.79,680000,1217200,0,0,0
2024-01-05,510300.SH,3.57,3.60,3.56,3.59,1180000,4236200,0,0,0
2024-01-05,510500.SH,5.25,5.29,5.24,5.27,835000,4400450,0,0,0
2024-01-05,159915.SZ,2.40,2.41,2.39,2.40,902000,2164800,0,0,0
2024-01-05,159949.SZ,1.79,1.79,1.77,1.78,675000,1201500,0,0,0
2024-01-08,510300.SH,3.62,3.66,3.62,3.66,1300000,4758000,0,1,0
2024-01-08,510500.SH,5.27,5.32,5.26,5.31,850000,4513500,0,0,0
2024-01-08,159915.SZ,2.40,2.43,2.39,2.42,920000,2226400,0,0,0
2024-01-08,159949.SZ,1.78,1.78,1.76,1.77,660000,1168200,0,0,0
